,age,treatment,adherent,discontinued,systolic_bp,hba1c,diabetes,hypertension,depression,asthma,obesity
age,1.0,0.03450778614895952,-0.02395311662803937,-0.008915631636576035,0.0015658493895317166,-0.01906428894678074,-0.039879185153609366,0.04254731231007737,0.054254929934698576,0.01475808248878052,0.04384955541226465
treatment,0.03450778614895952,1.0,0.0205748674588798,-0.004744465852004734,-0.008743283414333598,0.009561511513924289,0.0011410532745291977,0.007311957248076761,0.06845509192458252,-0.0070792905129752805,-0.04397052583243225
adherent,-0.02395311662803937,0.0205748674588798,1.0,-0.0686210616569701,-0.26352306578434237,-0.2588415672217041,-0.07019796731468145,-0.07727623626527276,-0.04527097871397169,-0.03708944288493526,-0.05772455624285618
discontinued,-0.008915631636576035,-0.004744465852004734,-0.0686210616569701,1.0,0.006923868314241421,0.023262414046599338,0.014785404075074705,0.003209242710260214,0.013683844316919533,0.0027131415984245387,-0.005756190461734906
systolic_bp,0.0015658493895317166,-0.008743283414333598,-0.26352306578434237,0.006923868314241421,1.0,0.057234499663372414,0.002826245786459771,0.41097399503681376,-0.013517687692011506,-0.003350286107992126,0.009582089329717628
hba1c,-0.01906428894678074,0.009561511513924289,-0.2588415672217041,0.023262414046599338,0.057234499663372414,1.0,0.7116243986013466,-0.010474074609038628,-0.0007970768039205742,0.004553317566048716,-0.007898800441186057
diabetes,-0.039879185153609366,0.0011410532745291977,-0.07019796731468145,0.014785404075074705,0.002826245786459771,0.7116243986013466,1.0,-0.027928106162848354,-0.0194876793962694,-0.023305064824072783,-0.025361350342128663
hypertension,0.04254731231007737,0.007311957248076761,-0.07727623626527276,0.003209242710260214,0.41097399503681376,-0.010474074609038628,-0.027928106162848354,1.0,-0.028872690366239344,-0.010350383028566291,-0.02266168943048898
depression,0.054254929934698576,0.06845509192458252,-0.04527097871397169,0.013683844316919533,-0.013517687692011506,-0.0007970768039205742,-0.0194876793962694,-0.028872690366239344,1.0,-0.006116116823648769,-0.034995674110961175
asthma,0.01475808248878052,-0.0070792905129752805,-0.03708944288493526,0.0027131415984245387,-0.003350286107992126,0.004553317566048716,-0.023305064824072783,-0.010350383028566291,-0.006116116823648769,1.0,0.037793278319407465
obesity,0.04384955541226465,-0.04397052583243225,-0.05772455624285618,-0.005756190461734906,0.009582089329717628,-0.007898800441186057,-0.025361350342128663,-0.02266168943048898,-0.034995674110961175,0.037793278319407465,1.0
