covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,-0.0016681113203054333,0.9983332792040924,0.0062801201613480705,-0.013976920655131524,0.010640698014520658,0.9861203030107873,1.010697511574806,0.0,-0.2656177393821334,0.7905336221822935,0.3391012717418845
diabetes,0.09009550448813107,1.0942787872503013,0.2699048437666049,-0.43890826854732456,0.6190992775235867,0.6447399198466962,1.8572544174257337,0.0,0.3338046966138905,0.7385269391321931,0.43727754797505425
hypertension,-0.029395137016044955,0.9710326976887215,0.20114198497115565,-0.42362618333840685,0.36483590930631693,0.6546685621895941,1.440277652598763,0.0,-0.14614122964064566,0.8838098992459901,0.1781920045786891
depression,0.12728274405831388,1.1357380955862544,0.2928166105017933,-0.44662726660029395,0.7011927547169217,0.6397823320814912,2.0161560535272693,0.0,0.4346841657657067,0.6637916933061843,0.591197519253852
asthma,-0.0371161693176915,0.9635641922522369,0.3219795121246608,-0.6681844168418043,0.5939520782064214,0.5126384711562092,1.8111320254538412,0.0,-0.11527494116868292,0.90822719998602,0.13887485101508473
obesity,-0.12285005716950652,0.8843962614981693,0.2365358023632772,-0.586451710855814,0.340751596516801,0.5562976919411635,1.4060039412039527,0.0,-0.5193719341515605,0.6035013990480511,0.7285709794209914
treatment,-0.0014406537398250832,0.9985603835036113,0.11753588178635194,-0.2318067489322322,0.22892544145258203,0.7930993757993221,1.257248296908484,0.0,-0.012257139844696936,0.9902204622344415,0.01417833296444596
n_visits,-0.012824062595231854,0.9872578153192734,0.03024309139404132,-0.0720994325087061,0.04645130731824239,0.9304383753896517,1.0475470699505554,0.0,-0.4240327957266475,0.6715418957530822,0.5744506864338519
adherence_rate,-0.6279311361636252,0.5336948015090537,0.41775845042941906,-1.446722653242548,0.19086038091529767,0.2353403174041678,1.2102904606380205,0.0,-1.5030961923527029,0.13281424056894284,2.9125182516910053
n_adherent_visits,-0.043058550345201195,0.9578553056663667,0.03891830366166712,-0.11933702386146205,0.03321992317105967,0.8875086387638988,1.033777865949635,0.0,-1.1063830201728972,0.2685607717198041,1.8966795070930944
n_nonadherent_visits,0.03687905181073526,1.037567521335896,0.049876597302884615,-0.06087728257432618,0.1346353861957967,0.9409387022664941,1.1441195465102822,0.0,0.7394059299350471,0.45966054253621536,1.1213592649965036
current_adherent_streak,-0.056659664488608784,0.9449156029837288,0.051474459372017944,-0.1575477509814342,0.04422842200421664,0.8542360220261399,1.0452210791162135,0.0,-1.1007335517429362,0.27101263914684415,1.8835679591411705
systolic_bp_mean,-0.002766726288121119,0.9972370975717181,0.014320571163620082,-0.03083453000685933,0.025301077430617096,0.96963600546546,1.0256238662423407,0.0,-0.19319943712508472,0.8468027795408609,0.23990209003969337
systolic_bp_std,0.022142544720767997,1.0223895103112304,0.02690799022849485,-0.030596147023437614,0.0748812364649736,0.9698671777419499,1.0777561451538806,0.0,0.8228984971653375,0.4105657174031526,1.284314928710579
systolic_bp_slope,-0.009450140652357504,0.990594371600781,0.01802970173431208,-0.04478770670360853,0.02588742539889352,0.9562004552340441,1.0262254150537546,0.0,-0.5241429276876539,0.6001791329144135,0.7365349348385842
hba1c_mean,0.02694433086263761,1.0273106116760597,0.1637498502930753,-0.2939994781856156,0.3478881399108908,0.7452768803393838,1.4160738387344682,0.0,0.1645456824199432,0.8693015874273674,0.20207131577337484
hba1c_std,-0.07473092053167674,0.9279931566416657,0.5476831087292059,-1.1481700885818547,0.9987082475185013,0.3172167170833744,2.714772748081308,0.0,-0.13644919724669904,0.8914661835490808,0.16574802250131865
hba1c_slope,0.31517131423111355,1.3704940759860005,0.3946076835721582,-0.4582455335930945,1.0885881620553217,0.6323921836182812,2.97007784246501,0.0,0.798695330455929,0.42446709506329183,1.2362753753351556
mean_time_between_visits,0.00015710910388409203,1.0001571214461658,0.0010848632523225048,-0.0019691837988190064,0.0022834020065871908,0.9980327537715784,1.0022860109543301,0.0,0.14481926966163577,0.8848535676230115,0.1764893682153222
std_time_between_visits,-0.0020457763632199246,0.9979563148109762,0.0017184374757093959,-0.005413851925294265,0.0013222991988544154,0.9946007765603162,1.0013231738219022,0.0,-1.1904863529442051,0.2338552907135507,2.0963120264047914
comorbidity_count,-0.00809749956477965,0.9919351968721729,0.11991468698786896,-0.24312596727839667,0.22693096814883737,0.7841727274454956,1.2547432477014133,0.0,-0.06752717092610036,0.946162032116329,0.07984082579059022
cluster,0.07745052446364899,1.0805287713955558,0.1003044699258434,-0.11914262407938504,0.27404367300668303,0.8876811870209943,1.3152722428778658,0.0,0.7721542671120173,0.44002306430583416,1.1843489486656862
pca_1,-0.08708563329041767,0.9165986009181311,0.05203697599064682,-0.18907623209646096,0.014904965515625604,0.8277234051991165,1.01501659845292,0.0,-1.6735337062259446,0.094222276833511,3.4077879953540373
pca_2,-0.01294375417655854,0.9871396559416631,0.05504574254700982,-0.1208314270709619,0.0949439187178448,0.8861833335225181,1.099597186576816,0.0,-0.23514541865802602,0.8140958678232376,0.2967293988119603
